이름,설명,영문이름,종류,처음 등장 페이지,페이지: 자세한 설명이 등장하는 부분
훼방꾼,로르샤흐 내부의 외계생명체. 지적 생명체는 아님,Scrambler,작품속 고유명사,308,
시리 키튼,작중 화자. 종합가 (임무 관찰자). 발작 때문에 뇌의 절반을 기계로 대체하여 감정이 없다. 실제로 간질발작의 치료를 위해 좌뇌와 우뇌의 연결 부위를 끊는 ‘분리뇌 수술’이 행해진 적 있음을 반영한듯. ‘시리’는 ‘시그너스’의 약칭,Siri Keeton,주인공,,
위상,"작품에서는 시리가 상대로부터 읽을 수 있는 비언어적 신호를 의미하는 듯?
rotational topology of information",topology,작품속 고유명사,,
교감,테세우스 내 무선통신망. 승무원들이 머릿속에서 직접 액세스 가능함,ConSensus,작품속 고유명사,,
카이퍼 벨트,해왕성 궤도 밖 소행성대,Kuiper Belt,과학용어,,
표현형,"개체의 물리적 특성, 행동 등 밖으로 드러나는 특성. 유전형 (genotype)에 대비되는 말. 작품속에서는 육체를 의미
p.379 “의식적으로 만들어두었던 표현형이 사라져 버렸다”  (his extended phenotype had been amputated.) → “그의 확장된 신체(로봇팔)가 절단되어 버렸다”의 오역",phenotype,과학용어,,
개똥벌레,"갑자기 대기권에 나타났다가 수십초만에 사라진 65,536개의 외계 물체",Fireflies,작품속 고유명사,,
이카루스,태양 에너지를 이용하여 반물질 스트림을 만들어내는 시설,Icarus Array,작품속 고유명사,,
번스-카우필드,카이퍼 벨트에서 다가오는 혜성,Burns-Caufield,작품속 고유명사,,
,,nonAscendent,,,
아이작 스핀델,"생물학자, 의사. 외계인 연구 임무",Isaac Szpindel,주인공,,
"4인방 (수잔 제임스, 미쉘, 사샤, 계산가)",다중 인격체. 언어학자. 외계인과 커뮤니케이션 임무,The Gang of Four,주인공,,
주카 사라스티,흡혈귀. 대장.,Jukka Sarasti,주인공,,
어맨더 베이츠,전투 담당,amanda Bates,주인공,,245~253
빅벤,"0.5광년 거리 오르트 성운에서 지구로 다가오는 목성 10배 크기의 천체. “Oasa Emitter”로도 불림. Yumiko Oasa가 발견한 적외선 방출 천체 (sub-brown dwarf).
https://www.deviantart.com/eschatondreadwyrm/art/Big-Ben-1-845490219 ",Big Ben,작품속 고유명사,,
"기본형 (인간), 표준형","흡혈귀, 하이브리드(?) 등을 제외한 일반인간",baseline,작품속 고유명사,,
